Tổng thời gian: 2582.35 giây
Trung bình CER: 0.0465
Trung bình WER: 0.2866
Chi tiết từng ảnh:
Ảnh 1: Thời gian 2.701s, CER 0.0438, WER 0.2579
Ảnh 2: Thời gian 2.633s, CER 0.0533, WER 0.3217
Ảnh 3: Thời gian 2.693s, CER 0.0449, WER 0.2775
Ảnh 4: Thời gian 2.832s, CER 0.0489, WER 0.2952
Ảnh 5: Thời gian 2.605s, CER 0.0421, WER 0.2643
Ảnh 6: Thời gian 2.574s, CER 0.0480, WER 0.3100
Ảnh 7: Thời gian 2.711s, CER 0.0448, WER 0.2735
Ảnh 8: Thời gian 2.888s, CER 0.0501, WER 0.3034
Ảnh 9: Thời gian 2.823s, CER 0.0445, WER 0.2998
Ảnh 10: Thời gian 3.730s, CER 0.0445, WER 0.2594
Ảnh 11: Thời gian 2.446s, CER 0.0472, WER 0.3075
Ảnh 12: Thời gian 2.518s, CER 0.0416, WER 0.2723
Ảnh 13: Thời gian 2.519s, CER 0.0456, WER 0.2824
Ảnh 14: Thời gian 2.475s, CER 0.0413, WER 0.2600
Ảnh 15: Thời gian 2.540s, CER 0.0467, WER 0.2906
Ảnh 16: Thời gian 2.546s, CER 0.0402, WER 0.2624
Ảnh 17: Thời gian 2.588s, CER 0.0419, WER 0.2874
Ảnh 18: Thời gian 2.480s, CER 0.0441, WER 0.2638
Ảnh 19: Thời gian 2.501s, CER 0.0503, WER 0.3151
Ảnh 20: Thời gian 2.457s, CER 0.0403, WER 0.2523
Ảnh 21: Thời gian 2.456s, CER 0.0433, WER 0.2671
Ảnh 22: Thời gian 2.480s, CER 0.0500, WER 0.3125
Ảnh 23: Thời gian 2.493s, CER 0.0449, WER 0.2707
Ảnh 24: Thời gian 2.744s, CER 0.0475, WER 0.3028
Ảnh 25: Thời gian 2.421s, CER 0.0421, WER 0.2691
Ảnh 26: Thời gian 2.469s, CER 0.0458, WER 0.2774
Ảnh 27: Thời gian 2.473s, CER 0.0521, WER 0.3080
Ảnh 28: Thời gian 2.512s, CER 0.0403, WER 0.2471
Ảnh 29: Thời gian 2.358s, CER 0.0488, WER 0.2897
Ảnh 30: Thời gian 2.435s, CER 0.0368, WER 0.2396
Ảnh 31: Thời gian 2.440s, CER 0.0427, WER 0.2613
Ảnh 32: Thời gian 2.497s, CER 0.0412, WER 0.2477
Ảnh 33: Thời gian 2.434s, CER 0.0498, WER 0.2925
Ảnh 34: Thời gian 2.484s, CER 0.0444, WER 0.2780
Ảnh 35: Thời gian 2.399s, CER 0.0450, WER 0.2830
Ảnh 36: Thời gian 2.419s, CER 0.0484, WER 0.3203
Ảnh 37: Thời gian 2.412s, CER 0.0479, WER 0.3165
Ảnh 38: Thời gian 2.454s, CER 0.0470, WER 0.2877
Ảnh 39: Thời gian 2.362s, CER 0.0502, WER 0.3020
Ảnh 40: Thời gian 2.386s, CER 0.0488, WER 0.3057
Ảnh 41: Thời gian 2.458s, CER 0.0416, WER 0.2567
Ảnh 42: Thời gian 2.403s, CER 0.0553, WER 0.3364
Ảnh 43: Thời gian 2.492s, CER 0.0466, WER 0.2831
Ảnh 44: Thời gian 2.412s, CER 0.0498, WER 0.3018
Ảnh 45: Thời gian 2.396s, CER 0.0400, WER 0.2629
Ảnh 46: Thời gian 2.406s, CER 0.0475, WER 0.2864
