Image,Time,CER,WER
img_0001.png,3.643427100000011,0.04509445460085314,0.271889400921659
img_0002.png,2.5123272000000014,0.04252017380509,0.26436781609195403
img_0003.png,2.542923800000011,0.050965018094089265,0.3218390804597701
img_0004.png,2.4671524000000034,0.04583723105706267,0.2834101382488479
img_0005.png,2.7110255999999993,0.04489304007231094,0.2739420935412027
img_0006.png,2.4297923000000026,0.046304814474087706,0.28018223234624146
img_0007.png,2.483233400000003,0.0495892911469425,0.2896551724137931
img_0008.png,2.817187599999997,0.04779525131051496,0.2727272727272727
img_0009.png,3.040356100000011,0.047824745448935516,0.2814645308924485
img_0010.png,3.622058199999998,0.04305931948208371,0.273972602739726
img_0011.png,2.523385499999989,0.0440771349862259,0.2863741339491917
img_0012.png,2.4842881000000006,0.050986342943854325,0.2972972972972973
img_0013.png,2.577405200000001,0.05555555555555555,0.3094170403587444
img_0014.png,2.4856315999999907,0.04870530209617756,0.3002309468822171
img_0015.png,2.406181399999994,0.045213595260367945,0.2693208430913349
img_0016.png,3.2034679999999867,0.048876745598057075,0.2986425339366516
img_0017.png,8.698424000000003,0.039699248120300755,0.26018099547511314
img_0018.png,2.690028699999985,0.046875,0.2997658079625293
img_0019.png,2.423570600000005,0.05305121128488194,0.3052391799544419
img_0020.png,2.4524979999999914,0.043912780133252574,0.26576576576576577
img_0021.png,2.4093091999999956,0.05181986428130783,0.31529411764705884
img_0022.png,2.437139099999996,0.047926267281105994,0.3123543123543124
img_0023.png,2.4022943000000225,0.04213397999393756,0.271264367816092
img_0024.png,2.3974989000000164,0.05132192846034215,0.30023640661938533
img_0025.png,2.472078200000027,0.04428833231521075,0.29107981220657275
img_0026.png,2.5286515999999892,0.04054054054054054,0.2718676122931442
img_0027.png,2.5159758000000068,0.04863034779932287,0.2979214780600462
img_0028.png,2.3993950999999925,0.049467752035065746,0.3047619047619048
img_0029.png,2.6187836999999945,0.040993788819875775,0.24651162790697675
img_0030.png,2.659211099999993,0.04532924961715161,0.2735632183908046
img_0031.png,3.024979099999996,0.037654320987654324,0.24193548387096775
img_0032.png,2.4762313000000233,0.04057352043929225,0.26741573033707866
