Tổng thời gian: 9919.29 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 90: Thời gian 2.417s, CER 0.0467, WER 0.2926
Ảnh 91: Thời gian 2.430s, CER 0.0483, WER 0.3103
Ảnh 92: Thời gian 2.388s, CER 0.0428, WER 0.2780
Ảnh 93: Thời gian 2.436s, CER 0.0420, WER 0.2489
Ảnh 94: Thời gian 2.469s, CER 0.0451, WER 0.2766
Ảnh 95: Thời gian 2.443s, CER 0.0429, WER 0.2709
Ảnh 96: Thời gian 2.739s, CER 0.0427, WER 0.2638
Ảnh 97: Thời gian 2.564s, CER 0.0390, WER 0.2512
Ảnh 98: Thời gian 2.457s, CER 0.0473, WER 0.2821
Ảnh 99: Thời gian 2.419s, CER 0.0416, WER 0.2603
Ảnh 100: Thời gian 2.648s, CER 0.0433, WER 0.2731
Ảnh 101: Thời gian 2.681s, CER 0.0479, WER 0.3122
Ảnh 102: Thời gian 2.624s, CER 0.0448, WER 0.2738
Ảnh 103: Thời gian 2.761s, CER 0.0455, WER 0.2610
Ảnh 104: Thời gian 2.483s, CER 0.0438, WER 0.2746
Ảnh 105: Thời gian 2.388s, CER 0.0476, WER 0.3038
Ảnh 106: Thời gian 2.494s, CER 0.0472, WER 0.3048
Ảnh 107: Thời gian 2.538s, CER 0.0483, WER 0.3043
Ảnh 108: Thời gian 2.612s, CER 0.0443, WER 0.2674
Ảnh 109: Thời gian 2.451s, CER 0.0453, WER 0.2770
Ảnh 110: Thời gian 2.426s, CER 0.0466, WER 0.2929
Ảnh 111: Thời gian 2.420s, CER 0.0477, WER 0.2934
Ảnh 112: Thời gian 2.480s, CER 0.0451, WER 0.2819
Ảnh 113: Thời gian 2.464s, CER 0.0453, WER 0.2650
Ảnh 114: Thời gian 2.442s, CER 0.0439, WER 0.2847
Ảnh 115: Thời gian 2.419s, CER 0.0440, WER 0.2825
Ảnh 116: Thời gian 2.401s, CER 0.0504, WER 0.2897
Ảnh 117: Thời gian 2.407s, CER 0.0494, WER 0.2935
Ảnh 118: Thời gian 2.447s, CER 0.0450, WER 0.2719
Ảnh 119: Thời gian 2.456s, CER 0.0477, WER 0.2774
Ảnh 120: Thời gian 2.409s, CER 0.0535, WER 0.3211
Ảnh 121: Thời gian 2.440s, CER 0.0415, WER 0.2647
Ảnh 122: Thời gian 2.416s, CER 0.0473, WER 0.2912
Ảnh 123: Thời gian 2.389s, CER 0.0482, WER 0.2792
Ảnh 124: Thời gian 2.451s, CER 0.0478, WER 0.2744
Ảnh 125: Thời gian 2.447s, CER 0.0466, WER 0.2821
