Tổng thời gian: 4915.60 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 1: Thời gian 2.476s, CER 0.0485, WER 0.3062
Ảnh 2: Thời gian 2.427s, CER 0.0412, WER 0.2640
Ảnh 3: Thời gian 2.463s, CER 0.0514, WER 0.3087
Ảnh 4: Thời gian 2.453s, CER 0.0526, WER 0.3118
Ảnh 5: Thời gian 2.403s, CER 0.0475, WER 0.2926
Ảnh 6: Thời gian 2.446s, CER 0.0458, WER 0.3063
Ảnh 7: Thời gian 2.366s, CER 0.0457, WER 0.2961
Ảnh 8: Thời gian 2.426s, CER 0.0487, WER 0.2982
Ảnh 9: Thời gian 2.437s, CER 0.0440, WER 0.2706
Ảnh 10: Thời gian 2.427s, CER 0.0511, WER 0.2902
Ảnh 11: Thời gian 2.436s, CER 0.0443, WER 0.2796
Ảnh 12: Thời gian 2.423s, CER 0.0503, WER 0.3032
Ảnh 13: Thời gian 2.415s, CER 0.0433, WER 0.2697
Ảnh 14: Thời gian 2.367s, CER 0.0452, WER 0.2791
Ảnh 15: Thời gian 2.424s, CER 0.0535, WER 0.3165
Ảnh 16: Thời gian 2.406s, CER 0.0447, WER 0.2655
Ảnh 17: Thời gian 2.428s, CER 0.0488, WER 0.2975
Ảnh 18: Thời gian 2.420s, CER 0.0452, WER 0.2881
Ảnh 19: Thời gian 2.697s, CER 0.0519, WER 0.3105
Ảnh 20: Thời gian 2.386s, CER 0.0445, WER 0.2703
Ảnh 21: Thời gian 2.479s, CER 0.0459, WER 0.2715
Ảnh 22: Thời gian 2.464s, CER 0.0407, WER 0.2740
Ảnh 23: Thời gian 2.391s, CER 0.0429, WER 0.2617
Ảnh 24: Thời gian 2.390s, CER 0.0486, WER 0.2963
Ảnh 25: Thời gian 2.444s, CER 0.0503, WER 0.3203
Ảnh 26: Thời gian 2.449s, CER 0.0439, WER 0.2687
Ảnh 27: Thời gian 2.418s, CER 0.0475, WER 0.2802
Ảnh 28: Thời gian 2.373s, CER 0.0422, WER 0.2721
Ảnh 29: Thời gian 2.424s, CER 0.0392, WER 0.2352
Ảnh 30: Thời gian 2.388s, CER 0.0448, WER 0.2703
Ảnh 31: Thời gian 2.474s, CER 0.0410, WER 0.2383
Ảnh 32: Thời gian 2.417s, CER 0.0469, WER 0.2809
Ảnh 33: Thời gian 2.385s, CER 0.0538, WER 0.3341
Ảnh 34: Thời gian 2.404s, CER 0.0425, WER 0.2471
Ảnh 35: Thời gian 2.409s, CER 0.0396, WER 0.2472
Ảnh 36: Thời gian 2.383s, CER 0.0478, WER 0.2976
Ảnh 37: Thời gian 2.418s, CER 0.0417, WER 0.2455
