Image,Time,CER,WER
img_0100.png,4.2540761,0.051172708,0.300904977
img_0101.png,4.355305,0.046894032,0.301843318
img_0102.png,4.2541151,0.049356223,0.294392523
img_0103.png,4.2100383,0.048728164,0.316513761
img_0104.png,4.2678773,0.051094891,0.297297297
img_0105.png,4.2146664,0.0428051,0.262331839
img_0106.png,4.236054,0.049230769,0.315909091
img_0107.png,4.1509547,0.03939206,0.231818182
img_0108.png,4.0949144,0.04591995,0.278037383
img_0109.png,4.0687433,0.046961326,0.296470588
img_0110.png,4.2056472,0.049338147,0.313501144
img_0111.png,4.2037041,0.043935644,0.280182232
img_0112.png,4.210157,0.046846847,0.277404922
img_0113.png,4.2205947,0.048817465,0.28440367
img_0114.png,4.1455161,0.046412214,0.283146067
img_0115.png,4.2808685,0.046574519,0.281938326
img_0116.png,4.0970803,0.043234837,0.263157895
img_0117.png,4.1896539,0.042274939,0.246085011
img_0118.png,4.1720171,0.043784446,0.259345794
img_0119.png,4.0490691,0.044554455,0.28375286
img_0080.png,4.3912235,0.050093342,0.305555556
img_0081.png,4.2843889,0.051634586,0.317673378
img_0082.png,4.4105191,0.052067381,0.288990826
img_0083.png,4.3097295,0.047905996,0.286697248
img_0084.png,4.4687317,0.054013277,0.322869955
img_0085.png,4.1922601,0.050306748,0.300458716
img_0086.png,4.3715337,0.040816327,0.259770115
img_0087.png,4.2250369,0.050733496,0.306997743
img_0088.png,4.2677569,0.052948255,0.324444444
img_0089.png,4.1207731,0.046149049,0.284037559
img_0090.png,4.3030133,0.042146756,0.270693512
img_0091.png,4.2847937,0.050965018,0.314606742
img_0092.png,4.1359516,0.041477445,0.267857143
img_0093.png,4.0764285,0.045121951,0.315789474
img_0094.png,4.0989119,0.048014774,0.302961276
img_0095.png,4.3447283,0.04870624,0.298876404
img_0096.png,4.0958423,0.051138135,0.306603774
img_0097.png,4.1347179,0.046404425,0.29082774
img_0098.png,4.3077986,0.049938725,0.30248307
img_0099.png,4.3011931,0.050617656,0.316397229
img_0040.png,4.3577111,0.041628959,0.256696429
img_0041.png,4.3285647,0.05526397,0.336426914
img_0042.png,4.3880273,0.046635183,0.283146067
img_0043.png,4.2978207,0.049845201,0.301843318
img_0044.png,4.2874875,0.040049674,0.262910798
img_0045.png,4.342475,0.047516861,0.286384977
img_0046.png,4.1903319,0.045358967,0.290540541
img_0047.png,4.2374319,0.049304295,0.309468822
img_0048.png,4.2416028,0.050286058,0.301123596
img_0049.png,4.2793139,0.051724138,0.299776286
img_0050.png,4.1894665,0.046233925,0.287356322
img_0051.png,4.1398951,0.047080404,0.281030445
img_0052.png,4.2421638,0.047734874,0.283105023
img_0053.png,4.2038778,0.047575758,0.278280543
img_0054.png,4.2092091,0.043867779,0.276346604
img_0055.png,4.2573556,0.047633404,0.302895323
img_0056.png,4.2883107,0.046490428,0.279545455
img_0057.png,4.3850133,0.04842615,0.294382022
img_0058.png,4.2189576,0.040544629,0.264976959
img_0059.png,4.2436585,0.049040512,0.298611111
img_0060.png,4.1852088,0.043143297,0.268792711
img_0061.png,4.3269076,0.042163153,0.262672811
img_0062.png,4.3888909,0.042735043,0.268965517
img_0063.png,4.3643221,0.043929225,0.266365688
img_0064.png,4.3503097,0.051838457,0.32731377
img_0065.png,4.2112166,0.041628684,0.255172414
img_0066.png,4.2797365,0.042448477,0.266816143
img_0067.png,4.2225123,0.046219773,0.263513514
img_0068.png,4.1789458,0.047720365,0.302752294
img_0069.png,4.2054594,0.045454545,0.287037037
img_0070.png,4.2047457,0.04193849,0.267605634
img_0071.png,4.2272575,0.050878256,0.321266968
img_0072.png,4.2522968,0.047475962,0.303370787
img_0073.png,4.1831233,0.044217687,0.274231678
img_0074.png,4.389453,0.046414758,0.272331155
img_0075.png,4.3618784,0.045495094,0.265486726
img_0076.png,4.2135389,0.048899756,0.296470588
img_0077.png,4.1931574,0.051439069,0.301886792
img_0078.png,4.2656049,0.045962733,0.281395349
img_0079.png,4.3249857,0.047178262,0.286343612
img_0140.png,4.2307136,0.048397041,0.294392523
img_0141.png,4.5950737,0.048602673,0.302059497
img_0142.png,4.3595991,0.051437216,0.294117647
img_0143.png,4.4100938,0.037284025,0.228571429
img_0144.png,4.2818305,0.050842266,0.295964126
img_0145.png,4.3004034,0.035681329,0.222988506
img_0146.png,4.3305911,0.04914079,0.291284404
img_0147.png,4.3761644,0.042367788,0.270509978
img_0148.png,4.3549189,0.048787972,0.312206573
img_0149.png,4.3276733,0.043610857,0.270207852
img_0150.png,4.2118719,0.044689317,0.276887872
img_0151.png,4.3178941,0.043808944,0.270454545
img_0152.png,4.2979629,0.047460701,0.288590604
img_0153.png,4.2465888,0.042909312,0.272930649
img_0154.png,4.3027255,0.045385318,0.282511211
img_0155.png,4.2573511,0.043945913,0.263788969
img_0156.png,4.2097207,0.04057352,0.27482679
img_0157.png,4.1908895,0.037642703,0.244897959
img_0158.png,4.4278142,0.04750451,0.276548673
img_0159.png,4.2774702,0.042279412,0.269953052
img_0020.png,4.5657487,0.043305886,0.267108168
img_0021.png,4.3626029,0.050015437,0.3125
img_0022.png,4.3276604,0.044920109,0.270693512
img_0023.png,4.2724912,0.047530864,0.302816901
img_0024.png,4.2833021,0.042124542,0.269141531
img_0025.png,4.3244389,0.045769347,0.277404922
img_0026.png,4.3976201,0.052115267,0.308045977
img_0027.png,4.3282417,0.040346683,0.247139588
img_0028.png,4.2171915,0.048780488,0.289719626
img_0029.png,4.2975052,0.036809816,0.239631336
img_0030.png,4.2999355,0.042701393,0.261261261
img_0031.png,4.4452418,0.041227806,0.247747748
img_0032.png,4.3420579,0.049758745,0.292517007
img_0033.png,4.2849326,0.044410413,0.278037383
img_0034.png,4.2612066,0.045025859,0.283018868
img_0035.png,4.2494179,0.048431313,0.320276498
img_0036.png,4.2700223,0.047922354,0.316546763
img_0037.png,4.3160706,0.046973803,0.287671233
img_0038.png,4.3084577,0.050214329,0.302013423
img_0039.png,4.3575747,0.048780488,0.305747126
img_0120.png,4.6862776,0.051677244,0.325688073
img_0121.png,4.3714448,0.049386503,0.296728972
img_0122.png,4.266336,0.042874769,0.267303103
img_0123.png,4.4364443,0.045550528,0.291855204
img_0124.png,4.3980703,0.036830703,0.23798627
img_0125.png,4.2301632,0.054045707,0.318807339
img_0126.png,4.2037222,0.050706822,0.30523918
img_0127.png,4.3217788,0.046846295,0.282511211
img_0128.png,4.2812257,0.041880084,0.263513514
img_0129.png,4.2098494,0.049443758,0.294117647
img_0130.png,4.3391975,0.047181373,0.279176201
img_0131.png,4.2978,0.050489596,0.310961969
img_0132.png,4.2822479,0.045924574,0.28988764
img_0133.png,4.3901118,0.045426452,0.258823529
img_0134.png,4.3238618,0.04473524,0.286046512
img_0135.png,4.398204,0.048854041,0.282167043
img_0136.png,4.2212201,0.047503045,0.272930649
img_0137.png,4.108031,0.04600939,0.284705882
img_0138.png,4.3662614,0.043915828,0.285067873
img_0139.png,4.3751263,0.042779126,0.274774775
img_0000.png,4.5763263,0.043768997,0.257918552
img_0001.png,4.5212442,0.053308824,0.321678322
img_0002.png,4.3547926,0.044902913,0.277522936
img_0003.png,4.2272099,0.048929664,0.295194508
img_0004.png,4.4048604,0.0420957,0.264317181
img_0005.png,4.2829766,0.048044349,0.31002331
img_0006.png,4.2804339,0.044780635,0.273542601
img_0007.png,4.2477982,0.050122249,0.303448276
img_0008.png,4.4076715,0.044451164,0.299776286
img_0009.png,4.2098124,0.044451257,0.259423503
img_0010.png,4.2344351,0.0472273,0.307517084
img_0011.png,4.341042,0.041602937,0.272300469
img_0012.png,4.2660546,0.04560968,0.282352941
img_0013.png,4.3579802,0.041268864,0.259953162
img_0014.png,4.4617461,0.046680812,0.290617849
img_0015.png,4.3230089,0.040208717,0.262443439
img_0016.png,4.2576626,0.041945289,0.287356322
img_0017.png,4.2739925,0.04414003,0.263761468
img_0018.png,4.3234059,0.050260496,0.315068493
img_0019.png,4.4265212,0.040278619,0.252336449
img_0160.png,4.2119189,0.047531432,0.303370787
img_0161.png,4.2571943,0.051060018,0.308558559
img_0162.png,4.1259263,0.044940385,0.283783784
img_0163.png,4.0793062,0.049538462,0.298823529
img_0164.png,4.1566073,0.049566295,0.303738318
img_0165.png,4.1957013,0.045595533,0.285714286
img_0166.png,4.2160377,0.044499382,0.280373832
img_0167.png,4.162972,0.040194884,0.260964912
img_0168.png,4.3792185,0.054103904,0.331764706
img_0169.png,4.3148956,0.048196423,0.276887872
img_0170.png,4.308087,0.051057402,0.288939052
img_0171.png,4.2990537,0.04494721,0.282758621
img_0172.png,4.1052362,0.04745551,0.284037559
img_0173.png,4.3504104,0.040585902,0.254004577
img_0174.png,4.235144,0.044780729,0.274599542
img_0175.png,4.3047149,0.044131168,0.275700935
img_0176.png,4.2749133,0.043007519,0.27027027
img_0177.png,4.3983563,0.050465605,0.315909091
img_0178.png,4.2144589,0.048964218,0.302884615
img_0179.png,4.2852764,0.044296117,0.27765237
img_0180.png,4.2958306,0.046005595,0.276744186
img_0181.png,4.2025037,0.051432091,0.321917808
img_0182.png,4.1519541,0.04902265,0.318501171
img_0183.png,4.224346,0.044680851,0.28045977
img_0184.png,4.088595,0.050061805,0.305882353
img_0185.png,4.2081446,0.051540104,0.325688073
img_0186.png,4.163176,0.045274992,0.28045977
img_0187.png,4.1667505,0.047940996,0.298165138
img_0188.png,4.2496179,0.055758684,0.32183908
img_0189.png,4.327265,0.045358331,0.293849658
img_0190.png,4.339087,0.04799514,0.298122066
img_0191.png,4.2849923,0.040810157,0.271889401
img_0192.png,4.1927821,0.041870416,0.266514806
img_0193.png,4.1073931,0.048462255,0.300480769
img_0194.png,4.2369431,0.045700541,0.294382022
img_0195.png,4.0573404,0.047780518,0.27293578
img_0196.png,4.1887992,0.044410413,0.272300469
img_0197.png,4.1222962,0.046242775,0.309633028
img_0198.png,4.1351069,0.041525684,0.270022883
img_0199.png,4.2670859,0.047246464,0.288288288
img_0200.png,4.394473,0.045550528,0.29330254
img_0201.png,4.3074512,0.048735912,0.303370787
img_0202.png,4.1020801,0.044113173,0.274376417
img_0203.png,4.215127,0.046547003,0.288636364
img_0204.png,4.253376,0.044849985,0.266055046
img_0205.png,4.1889998,0.045099218,0.277904328
img_0206.png,4.2571448,0.050986343,0.30733945
img_0207.png,4.1750331,0.043504716,0.272522523
img_0208.png,4.2024077,0.037313433,0.234482759
img_0209.png,4.2451034,0.043584273,0.290617849
img_0210.png,4.1977722,0.047751938,0.29330254
img_0211.png,4.2607903,0.045302524,0.288329519
img_0212.png,4.3849865,0.049253731,0.303030303
img_0213.png,4.1567654,0.049076038,0.316964286
img_0214.png,4.2663145,0.047721016,0.286384977
img_0215.png,4.3508577,0.045289855,0.280542986
