Ảnh,Thời gian (s),CER,WER
103,2.488,0.0494,0.2944
104,2.381,0.0487,0.3165
105,2.378,0.0511,0.2973
106,2.396,0.0428,0.2623
107,2.650,0.0492,0.3159
108,2.517,0.0394,0.2318
109,2.359,0.0459,0.2780
110,2.387,0.0470,0.2965
111,2.416,0.0493,0.3135
112,2.362,0.0439,0.2802
113,2.385,0.0468,0.2774
114,2.444,0.0488,0.2844
115,2.712,0.0464,0.2831
116,3.008,0.0466,0.2819
117,2.531,0.0432,0.2632
118,2.437,0.0423,0.2461
119,2.468,0.0438,0.2593
120,2.398,0.0446,0.2838
121,2.459,0.0517,0.3257
122,2.443,0.0494,0.2967
123,2.369,0.0429,0.2673
124,2.445,0.0456,0.2919
125,2.412,0.0368,0.2380
126,2.399,0.0540,0.3188
127,2.388,0.0507,0.3052
128,2.439,0.0468,0.2825
129,2.452,0.0419,0.2635
130,2.404,0.0494,0.2941
131,2.486,0.0472,0.2792
132,2.416,0.0505,0.3110
133,2.421,0.0459,0.2899
134,2.414,0.0454,0.2588
135,2.462,0.0447,0.2860
136,2.480,0.0489,0.2822
137,2.419,0.0475,0.2729
138,2.400,0.0460,0.2847
139,2.490,0.0439,0.2851
140,2.428,0.0428,0.2748
141,2.388,0.0484,0.2944
142,2.444,0.0486,0.3021
143,2.392,0.0514,0.2941
144,2.430,0.0373,0.2286
145,2.362,0.0508,0.2960
146,2.420,0.0357,0.2230
147,2.403,0.0491,0.2913
148,2.469,0.0424,0.2705
149,2.429,0.0488,0.3122
150,2.404,0.0436,0.2702
151,2.407,0.0447,0.2769
152,2.446,0.0438,0.2705
153,2.442,0.0475,0.2886
154,2.402,0.0429,0.2729
155,2.457,0.0454,0.2825
156,2.407,0.0439,0.2638
157,2.396,0.0406,0.2748
158,2.447,0.0376,0.2449
159,2.401,0.0475,0.2765
160,2.439,0.0423,0.2700
161,2.377,0.0475,0.3034
162,2.502,0.0511,0.3086
163,2.441,0.0449,0.2838
164,2.436,0.0495,0.2988
165,2.372,0.0496,0.3037
166,2.323,0.0456,0.2857
167,2.420,0.0445,0.2804
168,2.470,0.0402,0.2610
169,2.526,0.0541,0.3318
170,2.523,0.0482,0.2769
171,2.410,0.0511,0.2889
172,2.451,0.0449,0.2828
173,2.356,0.0475,0.2840
174,2.344,0.0406,0.2540
175,2.470,0.0448,0.2746
176,2.415,0.0441,0.2757
177,2.396,0.0430,0.2703
178,2.459,0.0505,0.3159
179,2.355,0.0490,0.3029
180,2.418,0.0443,0.2777
181,2.387,0.0460,0.2767
182,2.400,0.0514,0.3219
183,2.428,0.0490,0.3185
184,2.453,0.0447,0.2805
185,2.414,0.0501,0.3059
186,2.405,0.0515,0.3257
187,2.446,0.0453,0.2805
188,2.438,0.0479,0.2982
189,2.402,0.0558,0.3218
190,2.438,0.0454,0.2938
191,2.469,0.0480,0.2981
192,2.451,0.0408,0.2719
193,2.814,0.0419,0.2665
194,3.409,0.0485,0.3005
195,2.651,0.0457,0.2944
196,2.462,0.0478,0.2729
197,2.430,0.0444,0.2723
198,2.400,0.0462,0.3096
199,2.410,0.0415,0.2700
200,2.509,0.0472,0.2883
201,2.487,0.0456,0.2933
202,2.442,0.0487,0.3034
203,2.461,0.0441,0.2744
204,2.446,0.0465,0.2886
205,2.416,0.0448,0.2661
206,2.450,0.0451,0.2779
207,2.455,0.0510,0.3073
208,2.449,0.0435,0.2725
209,2.400,0.0373,0.2345
210,2.398,0.0436,0.2906
211,2.364,0.0478,0.2933
212,2.372,0.0453,0.2883
213,2.618,0.0493,0.3030
214,2.860,0.0491,0.3170
215,2.918,0.0477,0.2864
216,2.824,0.0453,0.2805
217,2.640,0.0500,0.3016
218,2.385,0.0474,0.2972
219,2.410,0.0428,0.2540
220,2.459,0.0489,0.2870
221,2.402,0.0538,0.3170
222,2.451,0.0448,0.2867
223,2.479,0.0447,0.2621
224,2.379,0.0447,0.2661
225,2.433,0.0427,0.2623
226,2.369,0.0491,0.2993
227,2.467,0.0499,0.2991
228,2.449,0.0443,0.2792
229,2.417,0.0420,0.2734
230,2.343,0.0484,0.2900
231,2.422,0.0487,0.2880
232,2.381,0.0424,0.2654
233,2.421,0.0492,0.3080
234,2.392,0.0459,0.2879
235,2.408,0.0478,0.2810
236,2.408,0.0409,0.2569
237,2.389,0.0461,0.2860
238,2.376,0.0398,0.2432
239,2.440,0.0417,0.2545
240,2.407,0.0421,0.2644
241,2.432,0.0522,0.3101
242,2.494,0.0570,0.3333
243,2.435,0.0455,0.2929
244,2.440,0.0417,0.2573
245,2.352,0.0472,0.2926
246,2.466,0.0419,0.2683
247,2.346,0.0469,0.2934
248,2.418,0.0407,0.2517
249,2.426,0.0448,0.2780
250,2.367,0.0457,0.2679
251,2.412,0.0420,0.2477
252,2.393,0.0432,0.2624
253,2.364,0.0391,0.2327
254,2.370,0.0488,0.2830
255,2.395,0.0485,0.3154
256,2.414,0.0457,0.2803
257,2.460,0.0495,0.3018
258,2.464,0.0445,0.2630
259,2.309,0.0474,0.2974
260,2.444,0.0467,0.2927
261,2.409,0.0444,0.2700
262,2.413,0.0477,0.2974
263,2.417,0.0416,0.2588
264,2.398,0.0422,0.2664
265,2.381,0.0474,0.2857
266,2.379,0.0460,0.2748
267,2.460,0.0551,0.3266
268,2.422,0.0419,0.2633
269,2.388,0.0533,0.3310
270,2.429,0.0442,0.2564
271,2.369,0.0400,0.2431
272,2.458,0.0415,0.2664
273,2.453,0.0478,0.2968
274,2.397,0.0353,0.2329
275,2.418,0.0485,0.3091
276,2.394,0.0499,0.3082
277,2.365,0.0479,0.2922
278,2.407,0.0427,0.2729
279,2.441,0.0474,0.2727
280,2.393,0.0427,0.2717
281,2.411,0.0474,0.2881
282,2.398,0.0504,0.3027
283,2.500,0.0452,0.2740
284,2.431,0.0471,0.2933
285,2.409,0.0491,0.2989
286,2.483,0.0404,0.2579
287,2.349,0.0486,0.3088
288,2.436,0.0452,0.2741
289,2.401,0.0462,0.2900
290,2.413,0.0473,0.2777
291,2.347,0.0435,0.2643
292,2.476,0.0474,0.2717
293,2.559,0.0416,0.2719
294,2.525,0.0432,0.2683
295,3.062,0.0478,0.3004
296,3.510,0.0412,0.2661
297,2.909,0.0431,0.2607
298,2.779,0.0448,0.2656
299,2.458,0.0460,0.2913
300,2.449,0.0425,0.2586
301,2.415,0.0519,0.3135
302,2.413,0.0451,0.2867
303,2.392,0.0480,0.2905
304,2.406,0.0423,0.2635
305,2.424,0.0476,0.2779
306,2.387,0.0451,0.2700
307,2.470,0.0500,0.2957
308,2.439,0.0492,0.2995
309,2.867,0.0466,0.2860
310,2.773,0.0469,0.3066
311,2.748,0.0478,0.2961
312,2.702,0.0416,0.2710
313,2.939,0.0461,0.2747
314,2.726,0.0474,0.2901
315,2.529,0.0510,0.3158
316,2.453,0.0425,0.2625
317,2.553,0.0507,0.2864
318,2.638,0.0520,0.3157
319,2.734,0.0500,0.3055
320,2.531,0.0472,0.2989
321,2.554,0.0475,0.3022
322,2.616,0.0588,0.3596
323,2.532,0.0479,0.3004
324,2.607,0.0533,0.3169
325,2.590,0.0530,0.3326
326,2.931,0.0500,0.2931
327,2.976,0.0502,0.3014
328,2.719,0.0404,0.2615
329,2.893,0.0474,0.2998
330,2.642,0.0478,0.3056
331,2.830,0.0523,0.3216
332,2.740,0.0507,0.2980
333,3.692,0.0475,0.2828
334,3.480,0.0448,0.2948
335,3.231,0.0509,0.3126
336,3.075,0.0439,0.2905
337,3.351,0.0498,0.2920
338,3.369,0.0480,0.2876
339,2.776,0.0394,0.2632
340,3.055,0.0440,0.2459
341,2.852,0.0495,0.2956
342,2.546,0.0562,0.3310
343,2.579,0.0511,0.3219
344,2.725,0.0456,0.2763
345,2.629,0.0386,0.2397
346,2.522,0.0471,0.2801
347,2.702,0.0440,0.2676
348,2.692,0.0488,0.2966
349,2.651,0.0464,0.2879
350,2.854,0.0483,0.2867
351,2.571,0.0452,0.2901
352,2.886,0.0462,0.2860
353,2.751,0.0438,0.2646
354,2.675,0.0502,0.3264
355,2.709,0.0454,0.2788
356,2.691,0.0447,0.2659
357,2.942,0.0417,0.2534
358,2.715,0.0474,0.2952
359,2.867,0.0447,0.2921
360,2.631,0.0464,0.2703
361,2.585,0.0462,0.2844
362,2.668,0.0423,0.2647
363,2.543,0.0441,0.2807
364,2.746,0.0427,0.2706
365,2.970,0.0434,0.2717
366,2.566,0.0410,0.2448
367,2.723,0.0455,0.3131
368,2.614,0.0462,0.2847
369,2.461,0.0453,0.2887
370,2.570,0.0431,0.2601
371,2.753,0.0378,0.2428
372,2.521,0.0449,0.2729
373,2.826,0.0440,0.2713
374,2.544,0.0462,0.2912
375,2.491,0.0492,0.2807
376,2.488,0.0458,0.2844
377,2.428,0.0437,0.2738
378,2.516,0.0511,0.2705
379,2.856,0.0477,0.2829
380,2.674,0.0493,0.3122
381,2.651,0.0422,0.2620
382,2.447,0.0505,0.3057
383,2.561,0.0419,0.2551
384,2.530,0.0435,0.2523
385,2.547,0.0435,0.2664
386,2.756,0.0454,0.2652
387,2.480,0.0476,0.2870
388,2.487,0.0524,0.3054
389,2.488,0.0489,0.3041
390,2.486,0.0432,0.2688
391,2.390,0.0496,0.3053
392,2.431,0.0445,0.2805
393,2.726,0.0514,0.3079
394,2.779,0.0356,0.2292
395,2.788,0.0456,0.2803
396,2.604,0.0499,0.3043
397,2.549,0.0432,0.2690
398,2.681,0.0495,0.3146
399,2.542,0.0467,0.2884
400,2.607,0.0416,0.2606
401,2.613,0.0416,0.2725
402,2.739,0.0405,0.2455
403,2.520,0.0431,0.2686
404,2.469,0.0476,0.2975
405,2.476,0.0472,0.2975
406,2.442,0.0446,0.2782
407,2.467,0.0457,0.2903
408,2.497,0.0408,0.2640
409,2.459,0.0520,0.3047
410,2.465,0.0439,0.2700
411,2.580,0.0472,0.2876
412,2.633,0.0447,0.2775
413,2.569,0.0453,0.2646
414,4.017,0.0553,0.3417
415,2.771,0.0453,0.2815
416,2.540,0.0479,0.2921
417,2.463,0.0459,0.2970
418,2.716,0.0429,0.2775
419,2.951,0.0507,0.2899
420,2.725,0.0410,0.2506
421,2.557,0.0466,0.2902
422,2.790,0.0492,0.2956
423,2.819,0.0435,0.2780
424,2.865,0.0486,0.3070
425,2.537,0.0549,0.3395
426,2.469,0.0452,0.2847
427,2.505,0.0452,0.2867
428,2.475,0.0431,0.2677
429,2.658,0.0477,0.3041
430,2.673,0.0490,0.3073
431,2.624,0.0420,0.2527
432,2.626,0.0488,0.2844
433,2.537,0.0501,0.3007
434,2.622,0.0448,0.2733
435,2.421,0.0468,0.3072
436,2.840,0.0527,0.3181
437,2.542,0.0415,0.2731
438,2.697,0.0396,0.2438
439,2.490,0.0458,0.2899
440,2.523,0.0505,0.3105
441,2.546,0.0488,0.2713
442,2.599,0.0462,0.2800
443,2.470,0.0477,0.2802
444,2.503,0.0501,0.3037
445,2.441,0.0443,0.2797
446,2.468,0.0545,0.3174
447,2.525,0.0418,0.2603
448,2.460,0.0487,0.3342
449,3.023,0.0558,0.3396
450,2.741,0.0425,0.2593
451,2.608,0.0502,0.3036
452,2.873,0.0494,0.2908
453,2.642,0.0419,0.2601
454,2.495,0.0436,0.2483
455,2.530,0.0465,0.3002
456,2.460,0.0421,0.2591
457,2.712,0.0502,0.3139
458,2.610,0.0466,0.3011
459,2.775,0.0506,0.3126
460,2.805,0.0485,0.3002
461,2.552,0.0500,0.2995
462,2.564,0.0600,0.3483
463,2.621,0.0463,0.2873
464,2.478,0.0465,0.2874
465,2.504,0.0400,0.2461
466,2.613,0.0450,0.2779
467,2.505,0.0437,0.2712
468,2.448,0.0387,0.2387
469,2.483,0.0499,0.2989
470,2.509,0.0493,0.3066
471,2.425,0.0505,0.2998
472,2.493,0.0491,0.2913
473,2.582,0.0558,0.3372
474,2.480,0.0578,0.3356
475,2.476,0.0509,0.3041
476,2.530,0.0423,0.2815
477,2.547,0.0392,0.2438
478,2.533,0.0377,0.2494
479,2.562,0.0468,0.2874
480,2.522,0.0527,0.3178
481,2.424,0.0424,0.2523
482,2.470,0.0462,0.2851
483,2.544,0.0444,0.2864
484,2.452,0.0447,0.2912
485,2.510,0.0525,0.2931
486,2.450,0.0433,0.2705
487,2.502,0.0429,0.2821
488,2.589,0.0472,0.2797
489,2.562,0.0404,0.2578
490,2.457,0.0446,0.2844
491,2.542,0.0440,0.2674
492,2.451,0.0478,0.2921
493,2.449,0.0494,0.2920
494,2.478,0.0518,0.3251
495,2.452,0.0453,0.2694
496,2.464,0.0502,0.2965
497,2.396,0.0460,0.2998
498,2.458,0.0491,0.3082
499,2.470,0.0461,0.2933
500,2.483,0.0407,0.2477
501,2.525,0.0490,0.3050
502,2.442,0.0462,0.2752
503,2.432,0.0477,0.2929
504,2.520,0.0425,0.2686
505,2.526,0.0429,0.2606
506,2.536,0.0440,0.2635
507,2.457,0.0428,0.2736
508,2.656,0.0440,0.2768
509,2.465,0.0482,0.2785
510,2.513,0.0444,0.2940
511,2.606,0.0412,0.2583
512,2.580,0.0493,0.3052
513,2.605,0.0492,0.2867
514,2.662,0.0462,0.2711
515,2.492,0.0392,0.2578
516,2.485,0.0470,0.2847
517,2.523,0.0435,0.2609
518,2.551,0.0451,0.2925
519,2.464,0.0495,0.3068
520,2.431,0.0543,0.3288
521,2.474,0.0455,0.2941
522,2.727,0.0462,0.2697
523,2.553,0.0506,0.2928
524,2.863,0.0581,0.3516
525,2.631,0.0436,0.2627
526,2.727,0.0474,0.2926
527,2.516,0.0426,0.2686
528,2.494,0.0522,0.3089
529,2.565,0.0484,0.2818
530,2.887,0.0395,0.2654
531,2.453,0.0450,0.2770
532,2.673,0.0502,0.2945
533,2.687,0.0456,0.2825
534,2.835,0.0475,0.2918
535,2.830,0.0533,0.3237
536,2.863,0.0476,0.2927
537,2.993,0.0437,0.2742
538,2.970,0.0457,0.2595
539,2.745,0.0480,0.2792
540,2.888,0.0445,0.2765
541,2.729,0.0488,0.3093
542,2.872,0.0457,0.2783
543,2.767,0.0469,0.2760
544,2.962,0.0566,0.3349
545,3.134,0.0430,0.2727
546,2.932,0.0521,0.3174
547,2.847,0.0434,0.2713
548,2.590,0.0468,0.2936
549,2.501,0.0460,0.3007
550,2.668,0.0441,0.2818
551,2.524,0.0526,0.3287
552,2.590,0.0448,0.2926
553,2.571,0.0433,0.2763
554,2.424,0.0521,0.3028
555,2.528,0.0443,0.2692
556,2.487,0.0461,0.2778
557,2.619,0.0433,0.2607
558,2.482,0.0467,0.2890
559,2.555,0.0472,0.2948
560,2.555,0.0466,0.2844
561,2.502,0.0538,0.3295
562,2.562,0.0483,0.3034
563,2.522,0.0518,0.3188
564,2.424,0.0518,0.3271
565,2.801,0.0482,0.2956
566,2.444,0.0447,0.2901
567,2.456,0.0463,0.2921
568,2.502,0.0437,0.2756
569,2.489,0.0480,0.2834
570,2.470,0.0474,0.2758
571,2.366,0.0488,0.2950
572,2.437,0.0500,0.3115
573,2.414,0.0504,0.3044
574,2.428,0.0447,0.2665
575,2.444,0.0477,0.3099
576,2.394,0.0420,0.2598
577,2.441,0.0463,0.2691
578,2.386,0.0528,0.3318
579,2.352,0.0447,0.2793
580,2.456,0.0447,0.2870
581,2.703,0.0487,0.3089
582,2.454,0.0457,0.2884
583,2.504,0.0469,0.2882
584,2.381,0.0433,0.2641
585,2.414,0.0503,0.3237
586,2.385,0.0463,0.2793
587,2.397,0.0448,0.2642
588,2.663,0.0500,0.2943
589,2.637,0.0456,0.2930
590,2.378,0.0416,0.2466
591,2.468,0.0520,0.3471
592,2.451,0.0449,0.2725
593,2.456,0.0439,0.2759
594,2.419,0.0453,0.2834
595,2.884,0.0457,0.2890
596,2.435,0.0493,0.3149
597,2.398,0.0452,0.2944
598,2.451,0.0499,0.2899
599,2.471,0.0488,0.2949
600,2.390,0.0429,0.2667
601,2.387,0.0542,0.3310
602,2.464,0.0472,0.2762
603,2.477,0.0400,0.2648
604,2.353,0.0455,0.2782
605,2.458,0.0460,0.2717
606,2.414,0.0458,0.2838
607,2.434,0.0476,0.3009
608,2.518,0.0451,0.2936
609,2.445,0.0411,0.2511
610,3.101,0.0468,0.2952
611,2.927,0.0494,0.3093
612,2.403,0.0493,0.2946
613,2.439,0.0495,0.2920
614,2.433,0.0445,0.2661
615,2.815,0.0432,0.2725
616,2.433,0.0491,0.3115
617,2.410,0.0530,0.3181
618,2.388,0.0445,0.2818
619,2.439,0.0429,0.2735
620,2.464,0.0458,0.2933
621,2.485,0.0435,0.2764
622,2.398,0.0464,0.2782
623,2.382,0.0504,0.3107
624,2.438,0.0502,0.3387
625,2.405,0.0431,0.2738
626,2.402,0.0484,0.2979
627,2.410,0.0432,0.2636
628,2.380,0.0447,0.2777
629,2.422,0.0445,0.2681
630,2.350,0.0444,0.2727
631,2.430,0.0445,0.2740
632,2.330,0.0467,0.2975
633,2.369,0.0504,0.2998
634,2.374,0.0519,0.3129
635,2.369,0.0529,0.3191
636,2.433,0.0487,0.2697
637,2.370,0.0521,0.3007
638,2.410,0.0442,0.2478
639,2.458,0.0445,0.2796
640,2.412,0.0463,0.2810
641,2.447,0.0495,0.3154
642,2.398,0.0435,0.2700
643,2.392,0.0477,0.3012
644,2.481,0.0443,0.2546
645,2.430,0.0460,0.2974
646,2.486,0.0477,0.2817
647,2.484,0.0459,0.2733
648,2.553,0.0522,0.3232
649,2.442,0.0481,0.3099
650,2.463,0.0435,0.2775
651,2.520,0.0497,0.3165
652,2.494,0.0462,0.2756
653,2.546,0.0498,0.2778
654,2.457,0.0518,0.3172
655,2.513,0.0481,0.3028
656,2.569,0.0468,0.2989
657,2.464,0.0447,0.2874
658,2.482,0.0409,0.2600
659,2.482,0.0344,0.2194
660,2.559,0.0474,0.3007
661,2.590,0.0491,0.2972
662,2.515,0.0410,0.2605
663,2.613,0.0490,0.3070
664,2.569,0.0448,0.2746
665,2.622,0.0468,0.2831
666,2.491,0.0397,0.2433
667,2.563,0.0476,0.2887
668,2.578,0.0500,0.3082
669,2.511,0.0481,0.3153
670,2.638,0.0528,0.3333
671,2.457,0.0445,0.2717
672,2.864,0.0463,0.2822
673,2.452,0.0468,0.2941
674,2.453,0.0477,0.2881
675,2.555,0.0444,0.2980
676,2.560,0.0444,0.2936
677,2.486,0.0445,0.2592
678,2.468,0.0455,0.2818
679,2.560,0.0448,0.2764
680,2.578,0.0418,0.2517
681,2.491,0.0519,0.3227
682,2.534,0.0564,0.3470
683,2.487,0.0476,0.2857
684,2.548,0.0444,0.2556
685,2.482,0.0548,0.3232
686,2.574,0.0431,0.2599
687,2.792,0.0517,0.3356
688,2.719,0.0518,0.3208
689,2.704,0.0459,0.2775
690,2.736,0.0426,0.2719
691,2.802,0.0468,0.2883
692,2.620,0.0476,0.3104
693,2.683,0.0526,0.3162
694,2.698,0.0485,0.2975
695,2.790,0.0493,0.3047
696,2.728,0.0402,0.2394
697,2.808,0.0424,0.2626
698,2.598,0.0497,0.3107
699,2.573,0.0519,0.3009
700,2.539,0.0442,0.2792
701,2.584,0.0478,0.2896
702,2.440,0.0469,0.2769
703,2.473,0.0467,0.3107
704,2.459,0.0498,0.3194
705,2.520,0.0473,0.2706
706,2.415,0.0552,0.3286
707,2.491,0.0443,0.2783
708,2.427,0.0414,0.2609
709,2.468,0.0482,0.2998
710,2.494,0.0468,0.3002
711,2.467,0.0492,0.2930
712,2.400,0.0451,0.3012
713,2.433,0.0505,0.3220
714,2.657,0.0470,0.2860
715,2.785,0.0492,0.3018
716,2.636,0.0419,0.2731
717,2.714,0.0481,0.2918
718,2.840,0.0412,0.2640
719,2.661,0.0537,0.3256
720,2.771,0.0471,0.2955
721,2.857,0.0451,0.3000
722,2.650,0.0414,0.2466
723,2.908,0.0477,0.2811
724,2.870,0.0477,0.2864
725,2.842,0.0455,0.2708
726,2.777,0.0431,0.2719
727,2.857,0.0427,0.2600
728,2.966,0.0442,0.2731
729,2.894,0.0384,0.2350
730,2.846,0.0487,0.3009
731,2.666,0.0496,0.3089
732,2.898,0.0542,0.3303
733,2.895,0.0430,0.2677
734,2.923,0.0465,0.2957
735,2.626,0.0461,0.2962
736,2.887,0.0424,0.2702
737,2.777,0.0430,0.2609
738,2.831,0.0395,0.2654
739,2.836,0.0483,0.2919
740,2.707,0.0474,0.2825
741,2.829,0.0453,0.2848
742,2.863,0.0466,0.2913
743,2.868,0.0447,0.2680
744,2.670,0.0499,0.3185
745,2.849,0.0523,0.3176
746,2.793,0.0484,0.3084
747,2.825,0.0388,0.2378
748,2.958,0.0527,0.3272
749,2.852,0.0501,0.2864
750,2.745,0.0518,0.2978
751,2.855,0.0453,0.2998
752,2.851,0.0434,0.2881
753,2.788,0.0451,0.2706
754,2.822,0.0466,0.2792
755,2.832,0.0505,0.2974
756,2.784,0.0474,0.3012
757,2.886,0.0408,0.2534
758,2.835,0.0412,0.2563
759,2.886,0.0527,0.3080
760,2.785,0.0391,0.2606
761,2.757,0.0470,0.2926
762,2.762,0.0445,0.2874
763,2.839,0.0494,0.2929
764,2.900,0.0461,0.2934
765,2.664,0.0508,0.2941
766,2.760,0.0444,0.2701
767,2.658,0.0465,0.2775
768,2.883,0.0450,0.2815
769,2.786,0.0431,0.2386
770,2.955,0.0530,0.2884
771,2.830,0.0468,0.2695
772,2.782,0.0447,0.2794
773,2.869,0.0509,0.2933
774,2.902,0.0440,0.2713
775,2.720,0.0503,0.3216
776,2.637,0.0457,0.2864
777,2.626,0.0459,0.2800
778,2.963,0.0497,0.3205
779,2.890,0.0420,0.2465
780,2.928,0.0422,0.2633
781,2.831,0.0424,0.2766
782,2.973,0.0494,0.3073
783,2.678,0.0498,0.3086
784,2.893,0.0447,0.2638
785,2.706,0.0484,0.2897
786,2.866,0.0403,0.2551
787,2.673,0.0453,0.2775
788,2.802,0.0418,0.2593
789,2.833,0.0387,0.2385
790,2.510,0.0455,0.2736
791,2.684,0.0421,0.2909
792,2.594,0.0557,0.3255
793,2.566,0.0509,0.2998
794,2.853,0.0431,0.2646
795,2.665,0.0500,0.2975
796,2.873,0.0531,0.3235
797,2.715,0.0471,0.2956
798,2.519,0.0446,0.2713
799,2.797,0.0472,0.2854
800,2.699,0.0488,0.2991
801,2.899,0.0444,0.2827
802,2.585,0.0450,0.2778
803,2.790,0.0401,0.2511
804,2.725,0.0434,0.2734
805,2.928,0.0513,0.3125
806,2.814,0.0421,0.2690
807,2.795,0.0417,0.2685
808,2.773,0.0458,0.2949
809,2.787,0.0491,0.2991
810,2.924,0.0523,0.3221
811,2.856,0.0420,0.2603
812,2.835,0.0468,0.2857
813,2.656,0.0439,0.2903
814,2.801,0.0536,0.3118
815,2.700,0.0476,0.3019
816,2.776,0.0459,0.2924
817,2.731,0.0505,0.3169
818,2.761,0.0459,0.2815
819,2.725,0.0456,0.2775
820,2.673,0.0473,0.3025
821,2.651,0.0448,0.2686
822,2.716,0.0444,0.2881
823,2.779,0.0448,0.2937
824,2.572,0.0438,0.2637
825,2.761,0.0461,0.2838
826,2.712,0.0410,0.2517
827,2.633,0.0384,0.2559
828,2.667,0.0422,0.2656
829,2.623,0.0558,0.3180
830,2.675,0.0543,0.3243
831,2.811,0.0539,0.3271
832,2.704,0.0448,0.2765
833,2.716,0.0465,0.3043
834,2.757,0.0475,0.2883
835,2.732,0.0471,0.2972
836,2.768,0.0504,0.3185
837,2.741,0.0418,0.2455
838,2.711,0.0524,0.3287
839,2.642,0.0454,0.2780
840,2.643,0.0481,0.3118
841,2.757,0.0512,0.3050
842,2.766,0.0489,0.2903
843,2.626,0.0423,0.2715
844,2.618,0.0501,0.3110
845,2.852,0.0449,0.2736
846,2.791,0.0471,0.2723
847,2.689,0.0450,0.2834
848,2.701,0.0494,0.3057
849,2.643,0.0434,0.2654
850,2.707,0.0441,0.2661
851,2.613,0.0383,0.2642
852,2.761,0.0441,0.2674
853,2.837,0.0453,0.2890
854,2.726,0.0502,0.3056
855,2.689,0.0424,0.2511
856,2.689,0.0399,0.2751
857,2.807,0.0363,0.2349
858,2.802,0.0440,0.2641
859,2.890,0.0481,0.2908
860,2.753,0.0461,0.2995
861,2.834,0.0468,0.2930
862,2.795,0.0480,0.3060
863,2.660,0.0491,0.2944
864,2.992,0.0419,0.2592
865,2.806,0.0523,0.3075
866,2.714,0.0421,0.2682
867,2.788,0.0415,0.2665
868,2.851,0.0503,0.3224
869,2.898,0.0494,0.3131
870,3.044,0.0483,0.2854
871,3.616,0.0523,0.3016
872,3.396,0.0470,0.2880
