Ảnh,Thời gian (s),CER,WER
1,2.701,0.0438,0.2579
2,2.633,0.0533,0.3217
3,2.693,0.0449,0.2775
4,2.832,0.0489,0.2952
5,2.605,0.0421,0.2643
6,2.574,0.0480,0.3100
7,2.711,0.0448,0.2735
8,2.888,0.0501,0.3034
9,2.823,0.0445,0.2998
10,3.730,0.0445,0.2594
11,2.446,0.0472,0.3075
12,2.518,0.0416,0.2723
13,2.519,0.0456,0.2824
14,2.475,0.0413,0.2600
15,2.540,0.0467,0.2906
16,2.546,0.0402,0.2624
17,2.588,0.0419,0.2874
18,2.480,0.0441,0.2638
19,2.501,0.0503,0.3151
20,2.457,0.0403,0.2523
21,2.456,0.0433,0.2671
22,2.480,0.0500,0.3125
23,2.493,0.0449,0.2707
24,2.744,0.0475,0.3028
25,2.421,0.0421,0.2691
26,2.469,0.0458,0.2774
27,2.473,0.0521,0.3080
28,2.512,0.0403,0.2471
29,2.358,0.0488,0.2897
30,2.435,0.0368,0.2396
31,2.440,0.0427,0.2613
32,2.497,0.0412,0.2477
33,2.434,0.0498,0.2925
34,2.484,0.0444,0.2780
35,2.399,0.0450,0.2830
36,2.419,0.0484,0.3203
37,2.412,0.0479,0.3165
38,2.454,0.0470,0.2877
39,2.362,0.0502,0.3020
40,2.386,0.0488,0.3057
41,2.458,0.0416,0.2567
42,2.403,0.0553,0.3364
43,2.492,0.0466,0.2831
44,2.412,0.0498,0.3018
45,2.396,0.0400,0.2629
46,2.406,0.0475,0.2864
47,2.422,0.0454,0.2905
48,2.436,0.0493,0.3095
49,2.468,0.0503,0.3011
50,2.419,0.0517,0.2998
51,2.432,0.0462,0.2874
52,2.433,0.0471,0.2810
53,2.419,0.0477,0.2831
54,2.478,0.0476,0.2783
55,2.377,0.0439,0.2763
56,2.449,0.0476,0.3029
57,2.478,0.0465,0.2795
58,2.423,0.0484,0.2944
59,2.419,0.0405,0.2650
60,2.424,0.0490,0.2986
61,2.404,0.0431,0.2688
62,2.381,0.0422,0.2627
63,2.390,0.0427,0.2690
64,2.486,0.0439,0.2664
65,2.441,0.0518,0.3273
66,2.383,0.0416,0.2552
67,2.434,0.0424,0.2668
68,2.425,0.0462,0.2635
69,2.375,0.0477,0.3028
70,2.377,0.0455,0.2870
71,2.369,0.0419,0.2676
72,2.462,0.0509,0.3213
73,2.488,0.0475,0.3034
74,2.462,0.0442,0.2742
75,2.433,0.0464,0.2723
76,2.463,0.0455,0.2655
77,2.391,0.0489,0.2965
78,2.398,0.0514,0.3019
79,2.407,0.0460,0.2814
80,2.464,0.0472,0.2863
81,2.409,0.0501,0.3056
82,2.457,0.0516,0.3177
83,2.477,0.0521,0.2890
84,2.422,0.0479,0.2867
85,2.440,0.0540,0.3229
86,2.397,0.0503,0.3005
87,2.457,0.0408,0.2598
88,2.367,0.0507,0.3070
89,2.445,0.0529,0.3244
90,2.356,0.0461,0.2840
91,2.445,0.0421,0.2707
92,2.448,0.0510,0.3146
93,2.576,0.0415,0.2679
94,2.327,0.0451,0.3158
95,2.399,0.0480,0.3030
96,3.053,0.0487,0.2989
97,3.154,0.0511,0.3066
98,2.882,0.0464,0.2908
99,2.617,0.0499,0.3025
100,2.614,0.0506,0.3164
101,2.544,0.0512,0.3009
102,2.553,0.0469,0.3018
