Ảnh,Thời gian (s),CER,WER
221,2.383,0.0459,0.2920
222,2.423,0.0406,0.2539
223,2.437,0.0473,0.2929
224,2.364,0.0515,0.3131
225,2.414,0.0480,0.2874
226,2.493,0.0533,0.3079
227,2.422,0.0495,0.3213
228,2.358,0.0446,0.2897
229,2.431,0.0428,0.2673
230,2.419,0.0391,0.2471
231,2.405,0.0445,0.3014
232,2.346,0.0410,0.2830
233,2.353,0.0449,0.2834
234,2.463,0.0451,0.2838
235,2.368,0.0444,0.2664
236,2.448,0.0484,0.2941
237,2.381,0.0454,0.2841
238,2.408,0.0438,0.2679
239,2.480,0.0419,0.2710
240,2.436,0.0467,0.2892
241,2.332,0.0434,0.2566
242,2.441,0.0384,0.2579
243,2.425,0.0496,0.3099
244,2.503,0.0411,0.2681
245,2.351,0.0445,0.2823
246,2.412,0.0491,0.2928
247,2.403,0.0484,0.2776
248,2.412,0.0490,0.3020
249,2.419,0.0476,0.2905
250,2.353,0.0495,0.2897
251,2.396,0.0413,0.2689
252,2.417,0.0464,0.2864
253,2.448,0.0471,0.2890
254,2.412,0.0563,0.3295
255,2.374,0.0463,0.2886
256,2.336,0.0429,0.2698
257,2.467,0.0492,0.3211
258,2.437,0.0405,0.2477
259,2.385,0.0474,0.2895
260,2.401,0.0453,0.2926
261,2.406,0.0486,0.3089
262,2.475,0.0481,0.2896
263,2.461,0.0532,0.3303
264,2.461,0.0508,0.2966
265,2.428,0.0409,0.2441
266,2.395,0.0388,0.2555
267,2.370,0.0483,0.3224
268,2.370,0.0531,0.3176
269,2.396,0.0480,0.2760
270,2.406,0.0452,0.2798
271,2.415,0.0521,0.3164
272,2.415,0.0519,0.3195
273,2.352,0.0450,0.2598
274,2.351,0.0527,0.3115
275,2.416,0.0502,0.2857
276,2.441,0.0465,0.2784
277,2.401,0.0447,0.2559
278,2.413,0.0481,0.2813
279,2.387,0.0500,0.3079
280,2.401,0.0483,0.3086
281,2.406,0.0422,0.2804
282,2.361,0.0445,0.2779
283,2.450,0.0494,0.3007
284,2.379,0.0540,0.3178
285,2.411,0.0435,0.2500
286,2.451,0.0434,0.2658
287,2.409,0.0515,0.3066
288,2.418,0.0582,0.3357
289,2.366,0.0443,0.2601
290,2.421,0.0483,0.3038
291,2.399,0.0453,0.2789
292,2.385,0.0467,0.3041
293,2.468,0.0499,0.2931
294,2.388,0.0446,0.2776
295,2.371,0.0484,0.2905
296,2.419,0.0492,0.3050
297,2.399,0.0468,0.2998
298,2.389,0.0476,0.2975
299,2.411,0.0424,0.2713
300,2.439,0.0471,0.3089
301,2.421,0.0433,0.2880
302,2.418,0.0482,0.2903
303,2.369,0.0401,0.2535
304,2.358,0.0459,0.2906
305,2.394,0.0480,0.2857
306,2.460,0.0475,0.2848
307,2.448,0.0435,0.2876
308,2.406,0.0442,0.2758
309,2.478,0.0465,0.2949
310,2.402,0.0470,0.2900
311,2.368,0.0513,0.3264
312,2.453,0.0460,0.2674
313,2.430,0.0411,0.2746
314,2.461,0.0451,0.2851
315,2.417,0.0510,0.3050
316,2.430,0.0408,0.2489
317,2.456,0.0500,0.3158
318,2.381,0.0474,0.2906
319,2.421,0.0525,0.3115
320,2.429,0.0418,0.2455
321,2.394,0.0469,0.2913
322,2.377,0.0405,0.2517
323,2.455,0.0448,0.2841
324,2.370,0.0441,0.2706
325,2.377,0.0396,0.2552
326,2.330,0.0471,0.2787
327,2.372,0.0439,0.2700
328,2.453,0.0506,0.3073
329,2.490,0.0528,0.3103
330,2.412,0.0482,0.3073
331,2.446,0.0428,0.2558
332,2.431,0.0452,0.2834
333,2.423,0.0494,0.3212
334,2.431,0.0443,0.2679
335,2.417,0.0510,0.3029
336,2.353,0.0467,0.2571
337,2.327,0.0496,0.3053
338,2.444,0.0440,0.2661
339,2.383,0.0488,0.2956
340,2.438,0.0436,0.2809
341,2.469,0.0442,0.2682
342,2.384,0.0352,0.2202
343,2.451,0.0513,0.3144
344,2.469,0.0477,0.2857
345,2.359,0.0448,0.2629
346,2.462,0.0459,0.2978
347,2.397,0.0435,0.2805
348,2.440,0.0413,0.2545
349,2.422,0.0488,0.2812
350,2.415,0.0476,0.2788
351,2.324,0.0444,0.2665
352,2.451,0.0461,0.2890
353,2.358,0.0421,0.2719
354,2.394,0.0491,0.3089
355,2.468,0.0474,0.3028
356,2.407,0.0476,0.2956
357,2.448,0.0473,0.2719
358,2.427,0.0473,0.2887
359,2.507,0.0458,0.2936
360,2.432,0.0464,0.2828
361,2.426,0.0381,0.2330
362,2.393,0.0471,0.3062
363,2.447,0.0483,0.2962
364,2.442,0.0456,0.2784
365,2.506,0.0452,0.3021
366,2.492,0.0473,0.2979
367,2.470,0.0411,0.2527
368,2.587,0.0475,0.2890
369,2.431,0.0482,0.2966
370,2.529,0.0495,0.3154
371,2.446,0.0383,0.2461
372,2.381,0.0491,0.2949
373,2.455,0.0463,0.2821
374,2.303,0.0454,0.2742
375,2.464,0.0438,0.2610
376,2.372,0.0377,0.2290
377,2.421,0.0458,0.2958
378,2.466,0.0515,0.3111
379,2.357,0.0512,0.3341
380,2.424,0.0421,0.2449
381,2.532,0.0399,0.2418
382,2.433,0.0537,0.3213
383,2.468,0.0456,0.2703
384,2.384,0.0407,0.2685
385,2.404,0.0411,0.2867
386,2.413,0.0488,0.2867
387,2.420,0.0473,0.2952
388,2.446,0.0408,0.2598
389,2.421,0.0435,0.2851
390,2.428,0.0448,0.2621
391,2.421,0.0456,0.2798
392,2.430,0.0469,0.2880
393,2.381,0.0436,0.2713
394,2.443,0.0478,0.2883
395,2.371,0.0423,0.2580
396,2.386,0.0518,0.3084
397,2.464,0.0456,0.2971
398,2.478,0.0472,0.2798
399,2.383,0.0515,0.3165
400,2.436,0.0504,0.3135
401,2.486,0.0431,0.2578
402,2.426,0.0484,0.2896
403,2.459,0.0469,0.2905
404,2.416,0.0427,0.2746
405,2.401,0.0492,0.3146
406,2.457,0.0484,0.3039
407,2.401,0.0448,0.2938
408,2.414,0.0519,0.3159
409,2.389,0.0538,0.3326
410,2.374,0.0416,0.2568
411,2.425,0.0444,0.2759
412,2.420,0.0489,0.2945
413,2.429,0.0459,0.2713
414,2.381,0.0455,0.3004
415,2.410,0.0526,0.3265
416,2.403,0.0492,0.3060
417,2.420,0.0432,0.2797
418,2.482,0.0463,0.2811
419,2.431,0.0423,0.2632
420,2.394,0.0488,0.3178
421,2.379,0.0432,0.2600
422,2.412,0.0539,0.3232
423,2.367,0.0445,0.2805
424,2.459,0.0509,0.3180
425,2.399,0.0485,0.3009
426,2.379,0.0493,0.3051
427,2.450,0.0426,0.2650
428,2.389,0.0516,0.2973
429,2.456,0.0408,0.2763
430,2.466,0.0482,0.2795
431,2.451,0.0396,0.2385
432,2.393,0.0480,0.2955
433,2.401,0.0440,0.2738
434,2.452,0.0410,0.2553
435,2.397,0.0447,0.2803
436,2.333,0.0473,0.3047
437,2.425,0.0456,0.2860
438,2.356,0.0454,0.2779
439,2.357,0.0513,0.3007
440,2.394,0.0455,0.2803
441,2.420,0.0455,0.2770
442,2.359,0.0470,0.2921
443,2.421,0.0487,0.2882
444,2.325,0.0482,0.2991
445,2.396,0.0433,0.2652
446,2.447,0.0470,0.2825
447,2.366,0.0438,0.2721
448,2.419,0.0439,0.2723
449,2.355,0.0503,0.3285
450,2.441,0.0466,0.2928
451,2.382,0.0504,0.2944
452,2.445,0.0482,0.3054
453,2.390,0.0435,0.2654
454,2.397,0.0429,0.2686
455,2.422,0.0507,0.3100
456,2.454,0.0468,0.2798
457,2.443,0.0448,0.2965
458,2.424,0.0473,0.2780
459,2.417,0.0527,0.3288
460,2.467,0.0394,0.2358
461,2.576,0.0549,0.3404
462,2.512,0.0514,0.3129
463,2.446,0.0488,0.3009
464,2.423,0.0444,0.2587
465,2.369,0.0466,0.2989
466,2.399,0.0495,0.2850
467,2.437,0.0476,0.2883
468,2.410,0.0457,0.2959
469,2.430,0.0438,0.2903
470,2.375,0.0473,0.2900
471,2.398,0.0494,0.2944
472,2.425,0.0476,0.2993
473,2.401,0.0406,0.2494
474,2.416,0.0478,0.2758
475,2.435,0.0385,0.2356
476,2.400,0.0477,0.2952
477,2.447,0.0505,0.3034
478,2.360,0.0505,0.3082
479,2.398,0.0439,0.2857
