Tổng thời gian: 1162.91 giây
Thời gian/ảnh: 4.534s
Trung bình CER: 0.0465
Trung bình WER: 0.2866
Chi tiết từng ảnh:
img_0107.png: 3.361s, CER 0.0394, WER 0.2318
img_0108.png: 6.222s, CER 0.0459, WER 0.2780
img_0109.png: 11.513s, CER 0.0470, WER 0.2965
img_0110.png: 3.468s, CER 0.0493, WER 0.3135
img_0111.png: 3.311s, CER 0.0439, WER 0.2802
img_0112.png: 3.261s, CER 0.0468, WER 0.2774
img_0113.png: 3.555s, CER 0.0488, WER 0.2844
img_0114.png: 3.549s, CER 0.0464, WER 0.2831
img_0115.png: 7.464s, CER 0.0466, WER 0.2819
img_0116.png: 5.838s, CER 0.0432, WER 0.2632
img_0117.png: 3.362s, CER 0.0423, WER 0.2461
img_0118.png: 3.354s, CER 0.0438, WER 0.2593
img_0119.png: 3.401s, CER 0.0446, WER 0.2838
img_0140.png: 3.415s, CER 0.0484, WER 0.2944
img_0141.png: 3.505s, CER 0.0486, WER 0.3021
img_0142.png: 9.632s, CER 0.0514, WER 0.2941
img_0143.png: 3.948s, CER 0.0373, WER 0.2286
img_0144.png: 3.320s, CER 0.0508, WER 0.2960
img_0145.png: 3.235s, CER 0.0357, WER 0.2230
img_0146.png: 3.335s, CER 0.0491, WER 0.2913
img_0147.png: 3.383s, CER 0.0424, WER 0.2705
img_0148.png: 8.811s, CER 0.0488, WER 0.3122
img_0149.png: 8.957s, CER 0.0436, WER 0.2702
img_0150.png: 3.267s, CER 0.0447, WER 0.2769
img_0151.png: 3.424s, CER 0.0438, WER 0.2705
img_0152.png: 3.367s, CER 0.0475, WER 0.2886
img_0153.png: 3.411s, CER 0.0429, WER 0.2729
img_0154.png: 3.550s, CER 0.0454, WER 0.2825
img_0155.png: 9.752s, CER 0.0439, WER 0.2638
img_0156.png: 3.300s, CER 0.0406, WER 0.2748
img_0157.png: 3.212s, CER 0.0376, WER 0.2449
img_0158.png: 3.442s, CER 0.0475, WER 0.2765
img_0159.png: 3.269s, CER 0.0423, WER 0.2700
img_0120.png: 3.524s, CER 0.0517, WER 0.3257
img_0121.png: 3.306s, CER 0.0494, WER 0.2967
img_0122.png: 9.511s, CER 0.0429, WER 0.2673
img_0123.png: 3.989s, CER 0.0456, WER 0.2919
img_0124.png: 3.492s, CER 0.0368, WER 0.2380
img_0125.png: 3.254s, CER 0.0540, WER 0.3188
img_0126.png: 3.321s, CER 0.0507, WER 0.3052
img_0127.png: 3.350s, CER 0.0468, WER 0.2825
img_0128.png: 8.939s, CER 0.0419, WER 0.2635
img_0129.png: 8.797s, CER 0.0494, WER 0.2941
img_0130.png: 3.288s, CER 0.0472, WER 0.2792
img_0131.png: 3.281s, CER 0.0505, WER 0.3110
img_0132.png: 3.307s, CER 0.0459, WER 0.2899
img_0133.png: 3.570s, CER 0.0454, WER 0.2588
img_0134.png: 3.671s, CER 0.0447, WER 0.2860
img_0135.png: 9.946s, CER 0.0489, WER 0.2822
img_0136.png: 3.356s, CER 0.0475, WER 0.2729
img_0137.png: 3.185s, CER 0.0460, WER 0.2847
img_0138.png: 3.228s, CER 0.0439, WER 0.2851
img_0139.png: 3.402s, CER 0.0428, WER 0.2748
img_0160.png: 3.292s, CER 0.0475, WER 0.3034
img_0161.png: 3.392s, CER 0.0511, WER 0.3086
img_0162.png: 3.248s, CER 0.0449, WER 0.2838
img_0163.png: 3.402s, CER 0.0495, WER 0.2988
img_0164.png: 11.454s, CER 0.0496, WER 0.3037
img_0165.png: 3.328s, CER 0.0456, WER 0.2857
img_0166.png: 3.940s, CER 0.0445, WER 0.2804
img_0167.png: 3.426s, CER 0.0402, WER 0.2610
img_0168.png: 3.301s, CER 0.0541, WER 0.3318
img_0169.png: 3.492s, CER 0.0482, WER 0.2769
img_0170.png: 3.685s, CER 0.0511, WER 0.2889
img_0171.png: 3.706s, CER 0.0449, WER 0.2828
img_0172.png: 3.234s, CER 0.0475, WER 0.2840
img_0173.png: 9.029s, CER 0.0406, WER 0.2540
img_0174.png: 3.291s, CER 0.0448, WER 0.2746
